class,index,output,seed,prompt,frames,steps,guidance,size,lora_path,lora_scale
Meet and Split,0,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Meet_and_Split/meet_and_split_00.mp4,981580781,"a commuter meets briefly with another person, then they walk away in opposite directions in a train station concourse, at noon. steady mid-shot, subtle background motion. High quality, realistic motion, 24 fps, (take 1)",61,32,6.0,832x480,,
Meet and Split,1,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Meet_and_Split/meet_and_split_01.mp4,2099481790,"a teenager meets briefly with another person, then they walk away in opposite directions near a building entrance, in the afternoon. slight side-angle tracking shot, soft shadows. High quality, realistic motion, 24 fps, (take 2)",61,32,6.0,832x480,,
Meet and Split,2,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Meet_and_Split/meet_and_split_02.mp4,850151389,"a young adult meets briefly with another person, then they walk away in opposite directions on a pedestrian plaza, at noon. static wide shot, realistic textures. High quality, realistic motion, 24 fps, (take 3)",61,32,6.0,832x480,,
Meet and Split,3,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Meet_and_Split/meet_and_split_03.mp4,979439893,"an office worker meets briefly with another person, then they walk away in opposite directions on a campus walkway, in the afternoon. low-angle shot, soft shadows. High quality, realistic motion, 24 fps, (take 4)",61,32,6.0,832x480,,
Meet and Split,4,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Meet_and_Split/meet_and_split_04.mp4,1454935019,"an office worker meets briefly with another person, then they walk away in opposite directions on a city sidewalk, at noon. steady mid-shot, subtle background motion. High quality, realistic motion, 24 fps, (take 5)",61,32,6.0,832x480,,
Meet and Split,5,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Meet_and_Split/meet_and_split_05.mp4,766161298,"a visitor meets briefly with another person, then they walk away in opposite directions inside a modern lobby, at golden hour. front-facing tracking shot, soft shadows. High quality, realistic motion, 24 fps, (take 6)",61,32,6.0,832x480,,
Meet and Split,6,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Meet_and_Split/meet_and_split_06.mp4,1927705821,"a shopper meets briefly with another person, then they walk away in opposite directions in a bright hallway, at noon. low-angle shot, natural lighting. High quality, realistic motion, 24 fps, (take 7)",61,32,6.0,832x480,,
Meet and Split,7,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Meet_and_Split/meet_and_split_07.mp4,213377469,"a shopper meets briefly with another person, then they walk away in opposite directions on a campus walkway, at noon. front-facing tracking shot, realistic textures. High quality, realistic motion, 24 fps, (take 8)",61,32,6.0,832x480,,
Meet and Split,8,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Meet_and_Split/meet_and_split_08.mp4,1444748781,"a middle-aged person meets briefly with another person, then they walk away in opposite directions on a campus walkway, at golden hour. front-facing tracking shot, realistic textures. High quality, realistic motion, 24 fps, (take 9)",61,32,6.0,832x480,,
Meet and Split,9,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Meet_and_Split/meet_and_split_09.mp4,50151611,"a jogger meets briefly with another person, then they walk away in opposite directions in a quiet park path, in the afternoon. static wide shot, soft shadows. High quality, realistic motion, 24 fps, (take 10)",61,32,6.0,832x480,,
Sitting,0,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Sitting/sitting_00.mp4,2010296923,"a jogger sits down calmly on a bench and stays seated inside a modern lobby, in the morning. slight side-angle tracking shot, slight depth of field. High quality, realistic motion, 24 fps, (take 1)",61,32,6.0,832x480,,
Sitting,1,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Sitting/sitting_01.mp4,515475437,"an office worker sits down calmly on a bench and stays seated on a city sidewalk, at golden hour. static wide shot, natural lighting. High quality, realistic motion, 24 fps, (take 2)",61,32,6.0,832x480,,
Sitting,2,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Sitting/sitting_02.mp4,592283624,"an office worker sits down calmly on a bench and stays seated on a pedestrian plaza, in the afternoon. steady mid-shot, slight depth of field. High quality, realistic motion, 24 fps, (take 3)",61,32,6.0,832x480,,
Sitting,3,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Sitting/sitting_03.mp4,1525105929,"a middle-aged person sits down calmly on a bench and stays seated in a quiet park path, in the afternoon. slight side-angle tracking shot, subtle background motion. High quality, realistic motion, 24 fps, (take 4)",61,32,6.0,832x480,,
Sitting,4,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Sitting/sitting_04.mp4,1116960182,"a college student sits down calmly on a bench and stays seated near a building entrance, in the evening. slight side-angle tracking shot, natural lighting. High quality, realistic motion, 24 fps, (take 5)",61,32,6.0,832x480,,
Sitting,5,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Sitting/sitting_05.mp4,1097304400,"a teenager sits down calmly on a bench and stays seated on a campus walkway, in the afternoon. low-angle shot, subtle background motion. High quality, realistic motion, 24 fps, (take 6)",61,32,6.0,832x480,,
Sitting,6,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Sitting/sitting_06.mp4,1428304211,"a tourist sits down calmly on a bench and stays seated on a wide corridor with windows, in the afternoon. static wide shot, slight depth of field. High quality, realistic motion, 24 fps, (take 7)",61,32,6.0,832x480,,
Sitting,7,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Sitting/sitting_07.mp4,1580901833,"a college student sits down calmly on a bench and stays seated in a bright hallway, in the afternoon. low-angle shot, natural lighting. High quality, realistic motion, 24 fps, (take 8)",61,32,6.0,832x480,,
Sitting,8,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Sitting/sitting_08.mp4,427386129,"a young adult sits down calmly on a bench and stays seated in a train station concourse, in the evening. low-angle shot, subtle background motion. High quality, realistic motion, 24 fps, (take 9)",61,32,6.0,832x480,,
Sitting,9,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Sitting/sitting_09.mp4,307217101,"a jogger sits down calmly on a bench and stays seated on a city sidewalk, in the afternoon. low-angle shot, realistic textures. High quality, realistic motion, 24 fps, (take 10)",61,32,6.0,832x480,,
Standing Still,0,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Standing_Still/standing_still_00.mp4,1321705027,"a jogger stands still for a moment, looking ahead on a wide corridor with windows, in the afternoon. low-angle shot, slight depth of field. High quality, realistic motion, 24 fps, (take 1)",61,32,6.0,832x480,,
Standing Still,1,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Standing_Still/standing_still_01.mp4,1467185915,"a college student stands still for a moment, looking ahead on a pedestrian plaza, in the afternoon. front-facing tracking shot, natural lighting. High quality, realistic motion, 24 fps, (take 2)",61,32,6.0,832x480,,
Standing Still,2,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Standing_Still/standing_still_02.mp4,622132220,"a jogger stands still for a moment, looking ahead near a building entrance, in the afternoon. steady mid-shot, subtle background motion. High quality, realistic motion, 24 fps, (take 3)",61,32,6.0,832x480,,
Standing Still,3,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Standing_Still/standing_still_03.mp4,1441619599,"a middle-aged person stands still for a moment, looking ahead on a wide corridor with windows, at golden hour. front-facing tracking shot, natural lighting. High quality, realistic motion, 24 fps, (take 4)",61,32,6.0,832x480,,
Standing Still,4,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Standing_Still/standing_still_04.mp4,1593856079,"a teenager stands still for a moment, looking ahead on a wide corridor with windows, in the morning. slight side-angle tracking shot, natural lighting. High quality, realistic motion, 24 fps, (take 5)",61,32,6.0,832x480,,
Standing Still,5,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Standing_Still/standing_still_05.mp4,1226792330,"a commuter stands still for a moment, looking ahead on a wide corridor with windows, in the afternoon. steady mid-shot, subtle background motion. High quality, realistic motion, 24 fps, (take 6)",61,32,6.0,832x480,,
Standing Still,6,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Standing_Still/standing_still_06.mp4,1140297922,"an office worker stands still for a moment, looking ahead near a building entrance, in the morning. slight side-angle tracking shot, natural lighting. High quality, realistic motion, 24 fps, (take 7)",61,32,6.0,832x480,,
Standing Still,7,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Standing_Still/standing_still_07.mp4,701214318,"a jogger stands still for a moment, looking ahead in a train station concourse, in the afternoon. handheld eye-level shot, subtle background motion. High quality, realistic motion, 24 fps, (take 8)",61,32,6.0,832x480,,
Standing Still,8,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Standing_Still/standing_still_08.mp4,132430321,"a tourist stands still for a moment, looking ahead in a bright hallway, at golden hour. low-angle shot, realistic textures. High quality, realistic motion, 24 fps, (take 9)",61,32,6.0,832x480,,
Standing Still,9,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Standing_Still/standing_still_09.mp4,1572208905,"a jogger stands still for a moment, looking ahead in a train station concourse, in the morning. low-angle shot, slight depth of field. High quality, realistic motion, 24 fps, (take 10)",61,32,6.0,832x480,,
Walking,0,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Walking/walking_00.mp4,492100204,"a visitor walks forward at a normal pace on a wide corridor with windows, in the morning. slight side-angle tracking shot, natural lighting. High quality, realistic motion, 24 fps, (take 1)",61,32,6.0,832x480,,
Walking,1,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Walking/walking_01.mp4,248291228,"a young adult walks forward at a normal pace in a train station concourse, at golden hour. static wide shot, natural lighting. High quality, realistic motion, 24 fps, (take 2)",61,32,6.0,832x480,,
Walking,2,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Walking/walking_02.mp4,104180830,"a tourist walks forward at a normal pace in a bright hallway, at noon. slight side-angle tracking shot, soft shadows. High quality, realistic motion, 24 fps, (take 3)",61,32,6.0,832x480,,
Walking,3,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Walking/walking_03.mp4,1150529096,"a commuter walks forward at a normal pace near a building entrance, in the afternoon. static wide shot, realistic textures. High quality, realistic motion, 24 fps, (take 4)",61,32,6.0,832x480,,
Walking,4,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Walking/walking_04.mp4,706742364,"a jogger walks forward at a normal pace inside a modern lobby, at noon. steady mid-shot, soft shadows. High quality, realistic motion, 24 fps, (take 5)",61,32,6.0,832x480,,
Walking,5,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Walking/walking_05.mp4,1991242633,"a teenager walks forward at a normal pace on a city sidewalk, at noon. static wide shot, realistic textures. High quality, realistic motion, 24 fps, (take 6)",61,32,6.0,832x480,,
Walking,6,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Walking/walking_06.mp4,1500121359,"a visitor walks forward at a normal pace in a bright hallway, in the evening. static wide shot, subtle background motion. High quality, realistic motion, 24 fps, (take 7)",61,32,6.0,832x480,,
Walking,7,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Walking/walking_07.mp4,227708540,"a teenager walks forward at a normal pace in a bright hallway, in the evening. static wide shot, soft shadows. High quality, realistic motion, 24 fps, (take 8)",61,32,6.0,832x480,,
Walking,8,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Walking/walking_08.mp4,1820497728,"a shopper walks forward at a normal pace on a city sidewalk, at golden hour. front-facing tracking shot, subtle background motion. High quality, realistic motion, 24 fps, (take 9)",61,32,6.0,832x480,,
Walking,9,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Walking/walking_09.mp4,453825466,"a tourist walks forward at a normal pace on a pedestrian plaza, in the evening. slight side-angle tracking shot, realistic textures. High quality, realistic motion, 24 fps, (take 10)",61,32,6.0,832x480,,
Walking While Reading Book,0,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Walking_While_Reading_Book/walking_while_reading_book_00.mp4,1308829395,"a college student walks slowly while reading a small book on a wide corridor with windows, at noon. steady mid-shot, realistic textures. High quality, realistic motion, 24 fps, (take 1)",61,32,6.0,832x480,,
Walking While Reading Book,1,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Walking_While_Reading_Book/walking_while_reading_book_01.mp4,1799298702,"a commuter walks slowly while reading a small book in a quiet park path, in the evening. slight side-angle tracking shot, slight depth of field. High quality, realistic motion, 24 fps, (take 2)",61,32,6.0,832x480,,
Walking While Reading Book,2,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Walking_While_Reading_Book/walking_while_reading_book_02.mp4,1270892026,"a shopper walks slowly while reading a small book near a building entrance, in the evening. low-angle shot, natural lighting. High quality, realistic motion, 24 fps, (take 3)",61,32,6.0,832x480,,
Walking While Reading Book,3,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Walking_While_Reading_Book/walking_while_reading_book_03.mp4,197042260,"a young adult walks slowly while reading a small book in a bright hallway, in the afternoon. static wide shot, slight depth of field. High quality, realistic motion, 24 fps, (take 4)",61,32,6.0,832x480,,
Walking While Reading Book,4,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Walking_While_Reading_Book/walking_while_reading_book_04.mp4,270728033,"a middle-aged person walks slowly while reading a small book on a city sidewalk, in the evening. static wide shot, realistic textures. High quality, realistic motion, 24 fps, (take 5)",61,32,6.0,832x480,,
Walking While Reading Book,5,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Walking_While_Reading_Book/walking_while_reading_book_05.mp4,1280354545,"an office worker walks slowly while reading a small book beside a row of trees, in the morning. handheld eye-level shot, realistic textures. High quality, realistic motion, 24 fps, (take 6)",61,32,6.0,832x480,,
Walking While Reading Book,6,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Walking_While_Reading_Book/walking_while_reading_book_06.mp4,640521297,"a middle-aged person walks slowly while reading a small book on a city sidewalk, at golden hour. steady mid-shot, realistic textures. High quality, realistic motion, 24 fps, (take 7)",61,32,6.0,832x480,,
Walking While Reading Book,7,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Walking_While_Reading_Book/walking_while_reading_book_07.mp4,1575710272,"a visitor walks slowly while reading a small book in a train station concourse, in the evening. handheld eye-level shot, subtle background motion. High quality, realistic motion, 24 fps, (take 8)",61,32,6.0,832x480,,
Walking While Reading Book,8,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Walking_While_Reading_Book/walking_while_reading_book_08.mp4,155296015,"a middle-aged person walks slowly while reading a small book inside a modern lobby, in the afternoon. front-facing tracking shot, slight depth of field. High quality, realistic motion, 24 fps, (take 9)",61,32,6.0,832x480,,
Walking While Reading Book,9,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Walking_While_Reading_Book/walking_while_reading_book_09.mp4,2062687213,"a middle-aged person walks slowly while reading a small book near a building entrance, in the evening. front-facing tracking shot, realistic textures. High quality, realistic motion, 24 fps, (take 10)",61,32,6.0,832x480,,
Walking While Using Phone,0,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Walking_While_Using_Phone/walking_while_using_phone_00.mp4,1437999910,"a middle-aged person walks while looking at a phone in one hand in a bright hallway, at noon. static wide shot, subtle background motion. High quality, realistic motion, 24 fps, (take 1)",61,32,6.0,832x480,,
Walking While Using Phone,1,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Walking_While_Using_Phone/walking_while_using_phone_01.mp4,537894627,"a teenager walks while looking at a phone in one hand on a city sidewalk, in the evening. static wide shot, realistic textures. High quality, realistic motion, 24 fps, (take 2)",61,32,6.0,832x480,,
Walking While Using Phone,2,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Walking_While_Using_Phone/walking_while_using_phone_02.mp4,2070181937,"a shopper walks while looking at a phone in one hand on a campus walkway, in the morning. steady mid-shot, subtle background motion. High quality, realistic motion, 24 fps, (take 3)",61,32,6.0,832x480,,
Walking While Using Phone,3,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Walking_While_Using_Phone/walking_while_using_phone_03.mp4,1279390404,"a teenager walks while looking at a phone in one hand on a campus walkway, in the afternoon. low-angle shot, realistic textures. High quality, realistic motion, 24 fps, (take 4)",61,32,6.0,832x480,,
Walking While Using Phone,4,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Walking_While_Using_Phone/walking_while_using_phone_04.mp4,219269589,"a teenager walks while looking at a phone in one hand on a pedestrian plaza, in the morning. handheld eye-level shot, realistic textures. High quality, realistic motion, 24 fps, (take 5)",61,32,6.0,832x480,,
Walking While Using Phone,5,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Walking_While_Using_Phone/walking_while_using_phone_05.mp4,975226453,"a teenager walks while looking at a phone in one hand on a pedestrian plaza, at noon. slight side-angle tracking shot, soft shadows. High quality, realistic motion, 24 fps, (take 6)",61,32,6.0,832x480,,
Walking While Using Phone,6,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Walking_While_Using_Phone/walking_while_using_phone_06.mp4,493430606,"an office worker walks while looking at a phone in one hand on a pedestrian plaza, at noon. static wide shot, soft shadows. High quality, realistic motion, 24 fps, (take 7)",61,32,6.0,832x480,,
Walking While Using Phone,7,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Walking_While_Using_Phone/walking_while_using_phone_07.mp4,1100858040,"a tourist walks while looking at a phone in one hand in a bright hallway, at golden hour. handheld eye-level shot, soft shadows. High quality, realistic motion, 24 fps, (take 8)",61,32,6.0,832x480,,
Walking While Using Phone,8,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Walking_While_Using_Phone/walking_while_using_phone_08.mp4,1758488804,"an office worker walks while looking at a phone in one hand near a building entrance, at golden hour. steady mid-shot, realistic textures. High quality, realistic motion, 24 fps, (take 9)",61,32,6.0,832x480,,
Walking While Using Phone,9,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Walking_While_Using_Phone/walking_while_using_phone_09.mp4,536968691,"a shopper walks while looking at a phone in one hand beside a row of trees, at golden hour. handheld eye-level shot, subtle background motion. High quality, realistic motion, 24 fps, (take 10)",61,32,6.0,832x480,,
